buyDiffBps,sellDiffBps,Diff,DexSlip,CexSlip,netProfit,isProfitable,executedQtyDst,executedDstPrice,executedQtySrc,executedSrcPrice
0.55,0,0.55,0.73,-0.26,1.1388233319328984,1,540.5026587084557,0.9098889486132411,540.5026587084557,0.9076
0.35,0,0.35,0.23,0.11,-0.04995096691027902,0,1344.5058638072328,0.3658,1344.5058638072328,0.36576399191451
0.89,0,0.89,0.8,0.05,0.025505437751624976,1,497.9423821770621,0.3652000000000001,497.9423821770621,0.36507573833527635
0,0,0,0,0,0.00012382643700900063,1,0.1345086519400728,0.3666,0.1345086519400728,0.3656060965637451
0.34,0,0.34,0.43,-0.11,0.01457282613496249,1,0.20543507516571452,1149.81,0.20543507516571452,1149.5091015928494
0.08,0,0.08,0.03,0.17,-0.2432984094911566,0,0.6253302750786408,283.99,0.6253302750786408,284.32227385400637
0.09,0,0.09,0.03,0.1,-0.08855531397401406,0,0.5176834975923684,284.43,0.5176834975923684,284.54417472414104
0.1,0,0.1,0.06,0.09,-0.277099621928017,0,1.3043433805395208,284.43,1.3043433805395208,284.58555776754025
0.16,0,0.16,0.1,0.52,-0.6451893886902454,0,38.75377535478735,3.4249365606031454,38.75377535478735,3.4409
0.2,0,0.2,0.08,0.67,-1.2774302234162487,0,65.43334094075485,3.422061792772725,65.43334094075485,3.4409
0.09,0,0.09,0.04,0.13,-0.25267117568124864,0,33.303568208441604,7.994000000000001,33.303568208441604,7.999988110030176
0.17,0,0.17,0.13,-0.27,2.490533794708601,1,232.8288707799767,3.4381844795441823,232.8288707799767,3.4268
0.2,0,0.2,0.13,-0.41,0.6700483894742136,1,44.897566704715516,3.442412417980614,44.897566704715516,3.4268000000000005
0.38,0,0.38,0.26,0.66,-1.052750929479457,0,521.4043324810435,0.3632535824734863,521.4043324810435,0.3652
0.36,0,0.36,0.08,0.61,-1.8748540746255964,0,1463.4159222911046,0.3633161894059379,1463.4159222911046,0.36452467532467536
0.19,0,0.19,0.15,-0.38,2.1428237793896128,1,1462.7347239455823,0.365,1462.7347239455823,0.3634620564635469
0.32,0,0.32,0.19,0.19,-0.6062543643943521,0,8839.779005524862,0.09062054158334457,8839.779005524862,0.090671
0.21,0,0.21,0.17,0.11,-0.17767004424506647,0,62.4795800075286,3.0456,62.4795800075286,3.0478345297848364
0.18,0,0.18,0.14,0.14,-0.11848814705037604,0,277.96469528451985,0.368,277.96469528451985,0.368352670490679
0.19,0,0.19,0.11,0.14,-0.4190536059998681,0,1706.8284943255396,0.368,1706.8284943255396,0.3681719159422244
0.4,0,0.4,0.11,-0.49,6.028011578681459,1,4291.845493562231,0.18694191508084895,4291.845493562231,0.1855
0.17,0,0.17,0.16,-0.43,3.4045729693634836,1,236.76487211909716,3.3936,236.76487211909716,3.378541727244172
0.17,0,0.17,0.05,-0.27,0.40639629379386655,1,33.03222349214056,3.3732,33.03222349214056,3.36022233432295
0.16,0,0.16,0.15,-0.27,1.1043544300349073,1,125.3785815090649,3.3732,125.3785815090649,3.363717201407497
0.12,0,0.12,0.06,0.09,-0.4672231505161941,0,267.8679774176281,2.9851,267.8679774176281,2.986247209209555
0.34,0,0.34,0.07,0.08,1.0932960277658632,1,1734.0394488767502,0.36640377161684334,1734.0394488767502,0.3657
0.64,0,0.64,0.23,0.11,0.5585519470488862,1,548.1022520011207,0.36699246372192307,548.1022520011207,0.3659
0.51,0,0.51,0.23,0.11,0.8800557402645732,1,1528.345737835113,0.36654913224573443,1528.345737835113,0.3659
0.38,0,0.38,0.23,0.17,-0.05453796355900414,0,42.8143261392,3.3510963941722176,42.8143261392,3.3517
0.16,0,0.16,0.06,0.05,0.05075043186995353,1,21.676423558699238,7.955,21.676423558699238,7.9510677266929655
0.07,0,0.07,0.03,0.05,-0.06084284150357603,0,28.65061651374739,7.955,28.65061651374739,7.955532613691678
0.08,0,0.08,0.03,0,0.06274526391062042,1,1.0239000465778512,283.06,1.0239000465778512,282.94210734656093
0.15,0,0.15,0.03,0.25,-0.672932443244092,0,15.581082984945422,21.915,15.581082984945422,21.953806067402716
0.26,0,0.26,0.09,0.41,-2.0744543530775497,0,2175.095160413268,0.368419953601893,2175.095160413268,0.3693
0.39,0,0.39,0.23,0.2,-0.08015718189854691,0,42.81282092856419,3.3673,42.81282092856419,3.368498810505891
0.22,0,0.22,0.21,-0.04,0.09381903697426675,1,288.1346404884684,0.9313,288.1346404884684,0.9307881316773936
0.24,0,0.24,0.18,0.46,-1.7305230118629364,0,1113.5818937635775,0.37032004896918086,1113.5818937635775,0.3718
0.24,0,0.24,0.09,-0.3,0.5724634121729659,1,338.32319637904135,0.3717,338.32319637904135,0.36993359921818
0.33,0,0.33,0.17,-0.57,2.826378560039155,1,1083.3816269660545,0.3715,1083.3816269660545,0.3688168514745231
0.25,0,0.25,0.14,0.03,0.3065773438488281,1,1258.2824387219223,0.3674,1258.2824387219223,0.36708287252117144
0,0,0,0,0,0.00009456419649642988,1,0.12593366715071333,0.3676,0.12593366715071333,0.3667755751892693
0.23,0,0.23,0.09,-0.71,6.642854802125321,1,2195.7653773599723,0.3674,2195.7653773599723,0.36430121735582033
0.3,0,0.3,0.18,-0.03,0.7873148863270039,1,2223.3966917934586,0.3602,2223.3966917934586,0.3597738554494117
0.3,0,0.3,0.12,0.01,0.8564157728141154,1,2.1574434927441013,283.3136213355561,2.1574434927441013,282.86
0.26,0,0.26,0.11,0.55,-1.2076683966339772,0,94.21556816005454,3.0213,94.21556816005454,3.033513880570807
0.26,0,0.26,0.24,0.1,-0.5709987851735431,0,4325.878708989425,0.18482,4325.878708989425,0.18491503202290907
0.61,0,0.61,0.68,-0.04,-0.028920839518102242,0,8.251724420842777,7.9530857934342,8.251724420842777,7.955
0.52,0,0.52,0.53,0.11,-0.24800576858370887,0,0.14690245746183675,1150.2218100542348,0.14690245746183675,1151.68
0,0,0,0,0,0.002560484709160619,1,0.00054001235618772,4495.610651985819,0.00054001235618772,4489.97
0.23,0,0.23,0.14,0.72,-1.2318805236624457,0,62.60353405750426,3.044071,62.60353405750426,3.0631396775296347
0.53,0,0.53,0.38,0.22,-0.3599141363509972,0,590.2905700395,0.6287160195277728,590.2905700395,0.6292
0.4,0,0.4,0.34,0.22,-0.6351687829213446,0,3847.0547227014963,0.090503,3847.0547227014963,0.09065000461131223
0.41,0,0.41,0.14,0.31,-0.03980673828935475,0,109.4386807793091,0.9031168878317255,109.4386807793091,0.9033
0.27,0,0.27,0.19,-0.26,0.7419997189702799,1,2530.0558085526663,0.09037334872182733,2530.0558085526663,0.090062
1.09,0,1.09,0.63,0.27,0.828977876302903,1,626.4300637287,0.3734980362800979,626.4300637287,0.3721
0.22,0,0.22,0.09,0.61,-1.1641615769757436,0,78.28774409623982,3.0018,78.28774409623982,3.0160699315177197
0.23,0,0.23,0.1,0.18,-0.15734337806998866,0,81.98189468154551,3.0106,81.98189468154551,3.0119171254465855
0.24,0,0.24,0.19,-0.16,0.19600452639251648,1,12.852473503486769,8.016853705732254,12.852473503486769,8
1.04,0,1.04,0.18,-0.24,6.467547088720002,1,2125.963327132607,0.3785178760370641,2125.963327132607,0.3754
0.52,0,0.52,0.45,-0.11,0.5548357191400892,1,814.5727300902108,0.3761563683884429,814.5727300902108,0.3754
0.73,0,0.73,0.54,1.01,-3.3825666217843757,0,1076.824866642044,0.3756,1076.824866642044,0.3786661211865381
0.37,0,0.37,0.23,0.43,-2.5043332855624243,0,8900.416039892287,0.089611,8900.416039892287,0.08987445040936318
0.16,0,0.16,0.05,-0.04,0.13998977477048852,1,0.02412233488876676,4499.6532567147615,0.02412233488876676,4492.95
0.33,0,0.33,0.09,-0.43,5.208048397742684,1,2151.694459386767,0.37269497948874863,2151.694459386767,0.3702
0.44,0,0.44,0.16,-0.43,0.9432010540797441,1,367.438574671385,0.37284153083840393,367.438574671385,0.3702
0.13,0,0.13,0.05,0.56,-0.6954437389910341,0,46.08878215519484,3.015,46.08878215519484,3.029486219251862
0.24,0,0.24,0.11,0.27,-1.3277220613368579,0,2144.1972661484856,0.37355549472258853,2144.1972661484856,0.3741
0.16,0,0.16,0.06,0.07,0.018691919963556576,1,57.58526501529158,3.0139,57.58526501529158,3.012972624463996
1.08,0,1.08,0.43,1.05,-0.43915074460709363,0,209.90449018277118,0.372,209.90449018277118,0.374017745547838
0.22,0,0.22,0.37,-0.59,1.827127819535388,1,1150.139222829175,0.37396340715806947,1150.139222829175,0.3723
1.12,0,1.12,0.03,1.02,-0.04136951558479913,0,113.65593140323021,0.3721,113.65593140323021,0.3723895690595593
1.22,0,1.22,0.08,1.02,-0.022572969747750214,0,126.10899340184727,0.3721,126.10899340184727,0.3722045757174253
0.75,0,0.75,0.45,-1.78,16.87045078700167,1,2173.3275912618055,0.3759,2173.3275912618055,0.3680623221350523
0.76,0,0.76,0.68,-1.73,6.2202644702844925,1,928.1288604219023,0.3759,928.1288604219023,0.3691228794230666
0.75,0,0.75,0.67,-1.73,7.499895284837149,1,1114.4061725542956,0.3759,1114.4061725542956,0.36909487227578125
0.2,0,0.2,0.3,0.24,-0.5707375793035826,0,51.53662173533132,2.9947000000000004,51.53662173533132,3.0051754680633507
0.39,0,0.39,0.05,0.09,0.3606748627814042,1,54.483792075900006,2.994918839857998,54.483792075900006,2.9877
