id,timestamp,name,buy,sell
93,2025-09-24T19:10:04.350Z,virtual,0.11,0.22
94,2025-09-24T19:10:04.350Z,avnt,0.16,0.19
95,2025-09-24T19:10:04.350Z,bio,0.23,0.16
96,2025-09-24T19:10:04.350Z,zro,0.11,0.22
97,2025-09-24T19:12:04.264Z,cake,0.18,0.15
98,2025-09-24T19:12:04.264Z,aave,0.22,0.11
99,2025-09-24T19:12:04.264Z,eth,0.06,0.22
100,2025-09-24T19:12:04.264Z,btc,0.06,0.22
101,2025-09-24T19:12:04.264Z,virtual,0.11,0.22
102,2025-09-24T19:12:04.264Z,avnt,0.16,0.18
103,2025-09-24T19:12:04.264Z,bio,0.23,0.16
104,2025-09-24T19:12:04.264Z,zro,0.11,0.22
105,2025-09-24T19:14:04.319Z,cake,0.18,0.15
106,2025-09-24T19:14:04.319Z,aave,0.22,0.11
107,2025-09-24T19:14:04.319Z,eth,0.06,0.22
108,2025-09-24T19:14:04.319Z,btc,0.06,0.22
109,2025-09-24T19:14:04.319Z,virtual,0.11,0.22
110,2025-09-24T19:14:04.319Z,avnt,0.16,0.18
111,2025-09-24T19:14:04.319Z,bio,0.23,0.16
112,2025-09-24T19:14:04.319Z,zro,0.11,0.22
113,2025-09-24T19:16:04.834Z,cake,0.18,0.15
114,2025-09-24T19:16:04.834Z,aave,0.22,0.11
115,2025-09-24T19:16:04.834Z,eth,0.06,0.22
116,2025-09-24T19:16:04.834Z,btc,0.06,0.22
117,2025-09-24T19:16:04.834Z,virtual,0.11,0.22
118,2025-09-24T19:16:04.834Z,avnt,0.16,0.18
119,2025-09-24T19:16:04.834Z,bio,0.23,0.16
120,2025-09-24T19:16:04.834Z,zro,0.11,0.22
121,2025-09-24T19:18:04.167Z,cake,0.18,0.15
122,2025-09-24T19:18:04.167Z,aave,0.22,0.11
123,2025-09-24T19:18:04.167Z,eth,0.06,0.22
124,2025-09-24T19:18:04.167Z,btc,0.06,0.22
125,2025-09-24T19:18:04.167Z,virtual,0.11,0.22
126,2025-09-24T19:18:04.167Z,avnt,0.16,0.18
127,2025-09-24T19:18:04.167Z,bio,0.23,0.16
128,2025-09-24T19:18:04.167Z,zro,0.11,0.22
129,2025-09-24T19:20:04.790Z,cake,0.18,0.15
130,2025-09-24T19:20:04.790Z,aave,0.22,0.11
131,2025-09-24T19:20:04.790Z,eth,0.06,0.22
132,2025-09-24T19:20:04.790Z,btc,0.06,0.22
133,2025-09-24T19:20:04.790Z,virtual,0.11,0.22
134,2025-09-24T19:20:04.790Z,avnt,0.16,0.18
135,2025-09-24T19:20:04.790Z,bio,0.23,0.16
136,2025-09-24T19:20:04.790Z,zro,0.11,0.22
137,2025-09-24T19:22:04.466Z,cake,0.18,0.15
138,2025-09-24T19:22:04.466Z,aave,0.22,0.11
139,2025-09-24T19:22:04.466Z,eth,0.06,0.22
140,2025-09-24T19:22:04.466Z,btc,0.06,0.22
141,2025-09-24T19:22:04.466Z,virtual,0.11,0.22
142,2025-09-24T19:22:04.466Z,avnt,0.16,0.18
143,2025-09-24T19:22:04.466Z,bio,0.21,0.16
144,2025-09-24T19:22:04.466Z,zro,0.11,0.22
145,2025-09-24T19:24:04.170Z,cake,0.18,0.15
146,2025-09-24T19:24:04.170Z,aave,0.19,0.14
147,2025-09-24T19:24:04.170Z,eth,0.06,0.22
148,2025-09-24T19:24:04.170Z,btc,0.06,0.22
