id,pair,buyDiffBps,sellDiffBps,Diff,DexSlip,CexSlip,netProfit,isProfitable,executedQtyDst,executedDstPrice,executedQtySrc,executedSrcPrice,trade_ts,label_regression,label_class
1759605402178,"P3_2500_cake/usdc",0.17,0,0.17,0.07,0.35,-0.4802278186458107,0,51.71304973466713,3.4698,51.71304973466713,3.4783924352350484,2025-10-04T19:16:42.178Z,-0.4802278186458107,0
1759605257155,"P3_2500_cake/usdc",0.17,0,0.17,0.07,0.19,-0.18559160419595336,0,52.51671055044099,3.4815,52.51671055044099,3.4843376533312487,2025-10-04T19:14:17.155Z,-0.18559160419595336,0
1759604805329,"A3_80_eth/usdc->P3_2500_cake/eth",0.15,0,0.15,0.1,0.05,-0.08568970357955182,0,101.94267422750943,3.4691,101.94267422750943,3.469246747546701,2025-10-04T19:06:45.329Z,-0.08568970357955182,0
1759604300800,"P3_500_aave/eth->A3_80_eth/usdc",0.12,0,0.12,0.05,0.07,-0.16962483521218497,0,2.6980563175353973,282.14355944036475,2.6980563175353973,282.15,2025-10-04T18:58:20.800Z,-0.16962483521218497,0
1759604298786,"P3_500_aave/usdc",0.11,0,0.11,0.07,0.06,0.0063149074829911556,1,1.9734551496661954,282.2096418528705,1.9734551496661954,282.15,2025-10-04T18:58:18.786Z,0.0063149074829911556,1
1759603108198,"A3_80_eth/usdc->P3_2500_cake/eth",0.13,0,0.13,0.04,0.12,-0.18466506850394374,0,70.76437398953908,3.473,70.76437398953908,3.4749149767982237,2025-10-04T18:38:28.198Z,-0.18466506850394374,0
1759602609262,"P3_2500_cake/eth->U3_100_eth/usdc",0.2,0,0.2,0.17,-0.04,0.8400485869613893,1,180.56571371654428,3.475947504548273,180.56571371654428,3.4706,2025-10-04T18:30:09.262Z,0.8400485869613893,1
1759602571693,"P3_2500_cake/usdc",0.18,0,0.18,0.14,-0.12,0.6240367622754251,1,80.00033274958174,3.476195666216825,80.00033274958174,3.4677,2025-10-04T18:29:31.693Z,0.6240367622754251,1
1759602553008,"P3_2500_cake/usdc",0.17,0,0.17,0.08,0.19,-0.21944752232437234,0,43.75150810479882,3.4682778851080642,43.75150810479882,3.4726,2025-10-04T18:29:13.008Z,-0.21944752232437234,0
1759602552556,"P3_2500_cake/eth->A3_80_eth/usdc",0.14,0,0.14,0.08,0.19,-0.46881476876499134,0,95.80134460944682,3.4684000663518315,95.80134460944682,3.4726,2025-10-04T18:29:12.556Z,-0.46881476876499134,0
1759602022138,"P3_2500_cake/eth->A3_80_eth/usdc",0.16,0,0.16,0.13,0.11,-0.3478618059994969,0,105.75184634108118,3.495109606009941,105.75184634108118,3.4976999999999996,2025-10-04T18:20:22.138Z,-0.3478618059994969,0
1759602022128,"P3_2500_cake/usdc",0.15,0,0.15,0.08,0.09,-0.07542126525545322,0,44.61353328967616,3.4962086949543245,44.61353328967616,3.4972,2025-10-04T18:20:22.128Z,-0.07542126525545322,0
1759601567700,"P3_2500_cake/usdc",0.23,0,0.23,0.1,0.23,-0.26982349581513737,0,70.37360509477821,3.5081,70.37360509477821,3.5112325376426528,2025-10-04T18:12:47.700Z,-0.26982349581513737,0
1759601505310,"P3_2500_cake/eth->U3_100_eth/usdc",0.15,0,0.15,0.1,0.23,-0.6560157877791281,0,136.75447988226625,3.493801727090318,136.75447988226625,3.4979,2025-10-04T18:11:45.310Z,-0.6560157877791281,0
1759601505299,"P3_2500_cake/usdc",0.12,0,0.12,0.1,0.23,-0.31460348835910035,0,53.34092876010153,3.4927005646619604,53.34092876010153,3.4979,2025-10-04T18:11:45.299Z,-0.31460348835910035,0
1759601488470,"P3_2500_cake/eth->A3_80_eth/usdc",0.14,0,0.14,0.06,-0.09,0.451805891853887,1,90.73899433435754,3.5005792970280774,90.73899433435754,3.4948999999999995,2025-10-04T18:11:28.470Z,0.451805891853887,1
1759601488461,"P3_2500_cake/usdc",0.12,0,0.12,0.07,-0.09,0.14747294944989425,1,35.86047062409514,3.4997123522320406,35.86047062409514,3.4949,2025-10-04T18:11:28.461Z,0.14747294944989425,1
1759600083614,"P3_2500_cake/usdc",0.2,0,0.2,0.08,-0.35,0.9526312388001323,1,62.11910304975668,3.4419,62.11910304975668,3.425876059889979,2025-10-04T17:48:03.614Z,0.9526312388001323,1
1759600083059,"A3_80_eth/usdc->P3_2500_cake/eth",0.22,0,0.22,0.1,-0.4,2.6397895037906696,1,151.64915184838023,3.4419,151.64915184838023,3.423804404254871,2025-10-04T17:48:03.059Z,2.6397895037906696,1
1759599705051,"P3_2500_cake/usdc",0.15,0,0.15,0.09,0.35,-0.48758266671658806,0,45.95353936159802,3.4071710944389655,45.95353936159802,3.4171,2025-10-04T17:41:45.051Z,-0.48758266671658806,0
1759599705013,"P3_2500_cake/eth->U3_100_eth/usdc",0.13,0,0.13,0.08,0.35,-1.0004555177692656,0,88.28681121610997,3.40644941025033,88.28681121610997,3.4170999999999996,2025-10-04T17:41:45.013Z,-1.0004555177692656,0
1759599514186,"P3_2500_cake/usdc",0.15,0,0.15,0.09,0.19,-0.2416882344029001,0,46.751073543074256,3.422133843677282,46.751073543074256,3.4266190999999995,2025-10-04T17:38:34.186Z,-0.2416882344029001,0
1759597648217,"P3_2500_cake/usdc",0.15,0,0.15,0.05,-0.19,0.4095873358832408,1,45.289237544622225,3.4075999999999995,45.289237544622225,3.3978746683111916,2025-10-04T17:07:28.217Z,0.4095873358832408,1
1759595900310,"P3_2500_cake/usdc",0.21,0,0.21,0.07,0.31,-0.4136255034660678,0,56.32427657004396,3.3886,56.32427657004396,3.3952659252033555,2025-10-04T16:38:20.310Z,-0.4136255034660678,0
1759595823210,"A3_80_eth/usdc->P3_500_aave/eth",0.16,0,0.16,0.1,-0.13,1.4210003138045741,1,2.844826079270673,281.74,2.844826079270673,281.1841485947975,2025-10-04T16:37:03.210Z,1.4210003138045741,1
1759595823204,"P3_500_aave/usdc",0.14,0,0.14,0.07,-0.13,1.0324436222319693,1,1.9722687762590925,281.74,1.9722687762590925,281.1601718158284,2025-10-04T16:37:03.204Z,1.0324436222319693,1
1759595714727,"A3_80_eth/usdc->A3_2500_bio/eth",0.16,0,0.16,0.04,-0.15,2.05772485743198,1,5787.015016865519,0.13861,5787.015016865519,0.13822670179163785,2025-10-04T16:35:14.727Z,2.05772485743198,1
1759595712740,"A3_80_eth/usdc->U3_3000_bio/eth",0.16,0,0.16,0.03,-0.15,2.0885869448792596,1,5787.237715524341,0.13861,5787.237715524341,0.13822138269077908,2025-10-04T16:35:12.740Z,2.0885869448792596,1
1759595712725,"U3_3000_bio/usdc",0.14,0,0.14,0.07,-0.15,1.1870035176604832,1,4100.7633351045115,0.13861,4100.7633351045115,0.1382928188382144,2025-10-04T16:35:12.725Z,1.1870035176604832,1
1759595638035,"A3_80_eth/usdc->A3_2500_bio/eth",0.11,0,0.11,0.04,-0.12,1.3219472052289136,1,5792.152548789815,0.13836,5792.152548789815,0.138104097269871,2025-10-04T16:33:58.035Z,1.3219472052289136,1
1759595636073,"U3_3000_bio/usdc",0.15,0,0.15,0.07,-0.12,0.9940119773680232,1,4138.209674150557,0.13836,4138.209674150557,0.1380921246135991,2025-10-04T16:33:56.073Z,0.9940119773680232,1
1759595634040,"A3_80_eth/usdc->P3_2500_bio/eth",0.13,0,0.13,0.07,-0.12,0.30050851056604516,1,1405.7867479145298,0.13836,1405.7867479145298,0.13811856263977604,2025-10-04T16:33:54.040Z,0.30050851056604516,1
1759595600657,"P3_500_aave/usdc",0.17,0,0.17,0.1,-0.21,1.6966078811308876,1,2.326203780298265,281.5,2.326203780298265,280.71435380277507,2025-10-04T16:33:20.657Z,1.6966078811308876,1
1759595574800,"P3_2500_cake/usdc",0.2,0,0.2,0.08,-0.01,0.2400235345564627,1,65.26235947556927,3.3903,65.26235947556927,3.385944115041092,2025-10-04T16:32:54.800Z,0.2400235345564627,1
1759595180175,"A3_2500_mira/eth->A3_80_eth/usdc",0.51,0,0.51,0.03,-0.07,0.8167334694688994,1,272.3523690393,0.6044196956342476,272.3523690393,0.6013,2025-10-04T16:26:20.175Z,0.8167334694688994,1
1759595043311,"A3_80_eth/usdc->P3_2500_cake/eth",0.17,0,0.17,0.08,0.12,-0.17448294217387816,0,114.06629205156949,3.3759,114.06629205156949,3.376754482611414,2025-10-04T16:24:03.311Z,-0.17448294217387816,0
1759595007169,"P3_100_eth/usdc->P3_2500_cake/eth",0.18,0,0.18,0.08,0.13,-0.21534527763134292,0,115.58075544712753,3.3774999999999995,115.58075544712753,3.3786876585924337,2025-10-04T16:23:27.169Z,-0.21534527763134292,0
1759594974492,"P3_100_eth/usdc->P3_500_aave/eth",0.11,0,0.11,0.05,0.15,-0.7336092089222609,0,2.4792865587213266,280.28,2.4792865587213266,280.51983928743323,2025-10-04T16:22:54.492Z,-0.7336092089222609,0
1759594967176,"P3_2500_cake/usdc",0.18,0,0.18,0.07,0.17,-0.1665081220616873,0,58.673951191024656,3.3801999999999994,58.673951191024656,3.382361814255282,2025-10-04T16:22:47.176Z,-0.1665081220616873,0
1759594429802,"A3_80_eth/usdc->P3_2500_cake/eth",0.13,0,0.13,0.06,0.29,-0.6916347509509602,0,85.40008118629119,3.3751,85.40008118629119,3.382523739876378,2025-10-04T16:13:49.802Z,-0.6916347509509602,0
1759594427804,"P3_2500_cake/usdc",0.12,0,0.12,0.04,0.29,-0.3124568013108583,0,39.24911909300841,3.3751127999999997,39.24911909300841,3.382398638945462,2025-10-04T16:13:47.804Z,-0.3124568013108583,0
1759594424400,"U3_100_eth/usdc->P3_2500_cake/eth",0.11,0,0.11,0.04,0.18,-0.329530050850752,0,70.25557884967294,3.3749,70.25557884967294,3.378915466740975,2025-10-04T16:13:44.400Z,-0.329530050850752,0
1759594410472,"P3_2500_cake/usdc",0.13,0,0.13,0.05,0.09,-0.04740638547444144,0,43.252153188209306,3.3778000000000006,43.252153188209306,3.3782204868318924,2025-10-04T16:13:30.472Z,-0.04740638547444144,0
1759593662574,"P3_500_aave/usdc",0.18,0,0.18,0.08,0.01,0.4385215000636271,1,2.4381746227416685,280.6259816741988,2.4381746227416685,280.39,2025-10-04T16:01:02.574Z,0.4385215000636271,1
1759593348083,"U3_100_eth/usdc->A3_2500_mira/eth",0.25,0,0.25,0.06,0.3,-0.42609270409100497,0,272.3277005465471,0.6072,272.3277005465471,0.608643192254581,2025-10-04T15:55:48.083Z,-0.42609270409100497,0
1759593065847,"P3_2500_cake/usdc",0.21,0,0.21,0.1,0.17,-0.13558998261441804,0,78.64653249479157,3.3803000000000005,78.64653249479157,3.3813479827303445,2025-10-04T15:51:05.847Z,-0.13558998261441804,0
1759592911693,"P3_500_aave/usdc",0.14,0,0.14,0.07,0.15,-0.48562811991647237,0,1.9601191740986121,280.84,1.9601191740986121,281.0315863846995,2025-10-04T15:48:31.693Z,-0.48562811991647237,0
1759591770913,"A3_2500_mira/eth->P3_100_eth/usdc",0.52,0,0.52,0.1,0.18,0.98968376587529,1,519.0137624330999,0.6100288603441628,519.0137624330999,0.608,2025-10-04T15:29:30.913Z,0.98968376587529,1
1759591752048,"P3_2500_cake/usdc",0.32,0,0.32,0.14,-0.29,1.4896706590814057,1,98.64287569535381,3.3779772502688172,98.64287569535381,3.3622,2025-10-04T15:29:12.048Z,1.4896706590814057,1
1759591689907,"P3_2500_cake/eth->A3_80_eth/usdc",0.35,0,0.35,0.07,-0.24,1.3766450597752402,1,77.35023050801573,3.37747305061912,77.35023050801573,3.3589999999999995,2025-10-04T15:28:09.907Z,1.3766450597752402,1
1759591555955,"P3_500_aave/usdc",0.19,0,0.19,0.06,-0.02,0.9852637822688449,1,2.618313047408272,280.812459659012,2.618313047408272,280.38,2025-10-04T15:25:55.955Z,0.9852637822688449,1
1759591488579,"P3_500_aave/usdc",0.15,0,0.15,0.07,-0.18,1.3887484671044645,1,2.0665927325523255,281.0982187489578,2.0665927325523255,280.37,2025-10-04T15:24:48.579Z,1.3887484671044645,1
1759591307695,"U3_3000_bio/usdc",0.23,0,0.23,0.03,-0.34,1.2611073422385506,1,1732.5129233808,0.13828556356883281,1732.5129233808,0.13753,2025-10-04T15:21:47.695Z,1.2611073422385506,1
1759591227948,"P3_500_aave/usdc",0.19,0,0.19,0.09,0.3,-1.6082499381021886,0,2.586615136326517,280.76,2.586615136326517,281.3256064964674,2025-10-04T15:20:27.948Z,-1.6082499381021886,0
1759591213334,"A3_80_eth/usdc->A3_2500_mira/eth",0.32,0,0.32,0.14,0.26,-0.3208093958876306,0,518.9663985667282,0.6136,518.9663985667282,0.6140954498791553,2025-10-04T15:20:13.334Z,-0.3208093958876306,0
1759590504788,"U3_100_eth/usdc->P3_2500_cake/eth",0.13,0,0.13,0.06,0.16,-0.3374533683194903,0,84.48555814784169,3.4044000000000003,84.48555814784169,3.4077133336350567,2025-10-04T15:08:24.788Z,-0.3374533683194903,0
1759590363316,"P3_2500_cake/usdc",0.12,0,0.12,0.04,0.02,0.049725498466363566,1,38.493609078529786,3.4102,38.493609078529786,3.408226174177452,2025-10-04T15:06:03.316Z,0.049725498466363566,1
