id,curId,ts,buyDiffBps,sellDiffBps,cexVol,serverBuy,serverSell,dexVolume,rejectReason,serverId,diff_ts,token
1,BASE_aave_706e,1759136287473,16,-27,2204671.0,,,,,base,2025-09-29 08:58:07.473000+00:00,aave
2,BASE_zro_8588,1759136291634,-28,-2,41104.0,,,,,base,2025-09-29 08:58:11.634000+00:00,zro
3,BASE_virtual_3e32,1759136291602,-9,1,33483.0,,,,,base,2025-09-29 08:58:11.602000+00:00,virtual
4,BASE_avnt_6f94,1759136286433,-13,11,9026656.0,,,,,base,2025-09-29 08:58:06.433000+00:00,avnt
5,BASE_avnt_6f94,1759136287182,-15,13,9026656.0,,,,,base,2025-09-29 08:58:07.182000+00:00,avnt
6,BASE_avnt_6f94,1759136287421,-16,14,9026656.0,,,,,base,2025-09-29 08:58:07.421000+00:00,avnt
7,BASE_avnt_6f94,1759136287472,-11,9,9026656.0,,,,,base,2025-09-29 08:58:07.472000+00:00,avnt
8,BASE_avnt_6f94,1759136288267,-13,10,9026656.0,,,,,base,2025-09-29 08:58:08.267000+00:00,avnt
9,BASE_avnt_6f94,1759136288332,-11,9,9026656.0,,,,,base,2025-09-29 08:58:08.332000+00:00,avnt
10,BASE_avnt_6f94,1759136288968,-14,11,9026656.0,,,,,base,2025-09-29 08:58:08.968000+00:00,avnt
11,BASE_avnt_6f94,1759136289041,-15,13,9026656.0,,,,,base,2025-09-29 08:58:09.041000+00:00,avnt
12,BASE_avnt_6f94,1759136289061,-17,15,9026656.0,,,,,base,2025-09-29 08:58:09.061000+00:00,avnt
13,BASE_avnt_6f94,1759136289202,-20,17,9026656.0,,,,,base,2025-09-29 08:58:09.202000+00:00,avnt
14,BASE_avnt_6f94,1759136289293,-18,16,9026656.0,,,,,base,2025-09-29 08:58:09.293000+00:00,avnt
15,BASE_avnt_6f94,1759136289496,-16,13,9026656.0,,,,,base,2025-09-29 08:58:09.496000+00:00,avnt
16,BASE_avnt_6f94,1759136289911,-14,12,9026656.0,,,,,base,2025-09-29 08:58:09.911000+00:00,avnt
17,BASE_avnt_6f94,1759136290023,-16,13,9026656.0,,,,,base,2025-09-29 08:58:10.023000+00:00,avnt
18,BASE_avnt_6f94,1759136291213,-14,12,9026656.0,,,,,base,2025-09-29 08:58:11.213000+00:00,avnt
19,BASE_avnt_6f94,1759136291595,-5,5,9040267.0,,,,,base,2025-09-29 08:58:11.595000+00:00,avnt
20,BASE_btc_b7c0,1759136293698,-5,3,23151584.0,,,,,base,2025-09-29 08:58:13.698000+00:00,btc
21,BASE_eth_0000,1759136293692,-1,1,17137657.0,,,,,base,2025-09-29 08:58:13.692000+00:00,eth
22,BASE_eth_0000,1759136295506,-2,2,17121097.0,,,,,base,2025-09-29 08:58:15.506000+00:00,eth
23,BASE_aave_706e,1759136299414,16,-26,2205548.0,,,,,base,2025-09-29 08:58:19.414000+00:00,aave
25,BASE_avnt_6f94,1759136291946,-7,7,9040267.0,,,,,base,2025-09-29 08:58:11.946000+00:00,avnt
26,BASE_avnt_6f94,1759136291976,-8,8,9040267.0,,,,,base,2025-09-29 08:58:11.976000+00:00,avnt
27,BASE_avnt_6f94,1759136292047,-10,10,9040267.0,,,,,base,2025-09-29 08:58:12.047000+00:00,avnt
28,BASE_avnt_6f94,1759136292129,-13,13,9040267.0,,,,,base,2025-09-29 08:58:12.129000+00:00,avnt
29,BASE_avnt_6f94,1759136292613,-12,12,9040267.0,,,,,base,2025-09-29 08:58:12.613000+00:00,avnt
30,BASE_avnt_6f94,1759136292665,-13,13,9040267.0,,,,,base,2025-09-29 08:58:12.665000+00:00,avnt
31,BASE_avnt_6f94,1759136292876,-12,12,9040267.0,,,,,base,2025-09-29 08:58:12.876000+00:00,avnt
32,BASE_avnt_6f94,1759136293692,-9,10,9040267.0,,,,,base,2025-09-29 08:58:13.692000+00:00,avnt
33,BASE_avnt_6f94,1759136294064,-11,11,9040267.0,,,,,base,2025-09-29 08:58:14.064000+00:00,avnt
